TMA_num,photo_ID,QuadName,Location,ENTITY_ID,POINT_X,POINT_Y,VIEWS,Direction,Altitude,Length,photo_int,Date_,Country,Year,Azimuth_dd,SAMPLE_ele,Height_read(ft),Height_read(m),True_height,xcoord,ycoord
1815,52,,peninsula,CA18150052,-67.37210708,-71.96327302,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,38,16466.40265,5018.959528,4980.959528,-1823363.972,760034.84
1815,53,,peninsula,CA18150053,-67.37148459,-71.98718257,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,38,16441.31476,5011.312739,4973.312739,-1820899.945,759030.9773
1815,54,,peninsula,CA18150054,-67.37086043,-72.01109363,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,40,16460.65513,5017.207684,4977.207684,-1818435.919,758027.1146
1815,55,,peninsula,CA18150055,-67.37023458,-72.03500621,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,40,16469.93279,5020.035514,4980.035514,-1815971.892,757023.2519
1815,56,,peninsula,CA18150056,-67.36960703,-72.05892031,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,38,16473.54636,5021.136931,4983.136931,-1813507.866,756019.3892
1815,57,,peninsula,CA18150057,-67.36897778,-72.08283592,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,41,16466.40412,5018.959976,4977.959976,-1811043.839,755015.5265
1815,58,,peninsula,CA18150058,-67.36834683,-72.10675305,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,45,16450.92331,5014.241425,4969.241425,-1808579.812,754011.6638
1815,59,,peninsula,CA18150059,-67.36771415,-72.13067168,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,46,16451.74255,5014.491129,4968.491129,-1806115.786,753007.8011
1815,60,,peninsula,CA18150060,-67.36707976,-72.15459182,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,45,16449.45212,5013.793006,4968.793006,-1803651.759,752003.9384
1815,61,,peninsula,CA18150061,-67.36644363,-72.17851347,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,42,16456.66595,5015.991782,4973.991782,-1801187.732,751000.0757
1815,62,,peninsula,CA18150062,-67.36580577,-72.20243662,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,42,16474.45628,5021.414274,4979.414274,-1798723.706,749996.213
1815,63,,peninsula,CA18150063,-67.36516616,-72.22636127,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,44,16473.7324,5021.193636,4977.193636,-1796259.679,748992.3503
1815,64,,peninsula,CA18150064,-67.36452481,-72.25028742,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,45,16466.39793,5018.958089,4973.958089,-1793795.653,747988.4876
1815,65,,peninsula,CA18150065,-67.36388169,-72.27421507,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,45,16474.02186,5021.281863,4976.281863,-1791331.626,746984.6249
1815,66,,peninsula,CA18150066,-67.36323681,-72.29814422,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,46,16434.18861,5009.140688,4963.140688,-1788867.599,745980.7622
1815,67,,peninsula,CA18150067,-67.36259015,-72.32207486,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,47,16421.38962,5005.239556,4958.239556,-1786403.573,744976.8995
1815,68,,peninsula,CA18150068,-67.36194172,-72.346007,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,47,16464.93239,5018.511392,4971.511392,-1783939.546,743973.0368
1815,69,,peninsula,CA18150069,-67.36129149,-72.36994062,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,48,16479.08325,5022.824575,4974.824575,-1781475.519,742969.1741
1815,70,,peninsula,CA18150070,-67.36063948,-72.39387574,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,48,16486.76952,5025.16735,4977.16735,-1779011.493,741965.3114
1815,71,,peninsula,CA18150071,-67.35998566,-72.41781234,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,49,16458.59437,5016.579564,4967.579564,-1776547.466,740961.4487
1815,72,,peninsula,CA18150072,-67.35933003,-72.44175043,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,50,16445.68143,5012.6437,4962.6437,-1774083.44,739957.586
1815,73,,peninsula,CA18150073,-67.35867258,-72.46569,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,52,16438.44506,5010.438054,4958.438054,-1771619.413,738953.7233
1815,74,,peninsula,CA18150074,-67.35801331,-72.48963105,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,61,16458.06253,5016.417459,4955.417459,-1769155.386,737949.8606
1815,75,,peninsula,CA18150075,-67.3573522,-72.51357358,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,65,16566.71756,5049.535512,4984.535512,-1766691.36,736945.9979
1815,76,,peninsula,CA18150076,-67.35668916,-72.53752126,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,66,16453.88049,5015.142773,4949.142773,-1764226.955,735941.9813
